label_raw,text,label_ocean,key,pA,pB,pC,pD,pE,chosen_trait
Agreeableness,Get back at others,A,-1,0.0016517639,0.0033359528,0.004558563,0.052581847,0.9321297,a closed
Achievement-striving,Hang around doing nothing,C,-1,0.013282776,0.01902771,0.02330017,0.25048834,0.6918947,a closed
Extraversion,Have a natural talent for influencing people,E,1,0.00044441223,0.00047659874,0.0015506744,0.034484863,0.9614261,a closed
Orderliness,Have an eye for detail,C,1,0.0007529259,0.0010700226,0.0034828186,0.10015869,0.8930666,a closed
Agreeableness,Hold a grudge,A,-1,0.0013227463,0.0029582977,0.0055236816,0.042785645,0.94384813,a closed
Extraversion,Keep in the background,E,-1,0.0491333,0.08105469,0.08105469,0.27417004,0.5122072,a closed
Gregariousness,Keep others at a distance,E,-1,0.02229309,0.03451538,0.036743164,0.23229986,0.6718752,a closed
Extraversion,Lack the talent for influencing people,E,-1,0.026565552,0.043792725,0.06274414,0.16796881,0.695801,a closed
Orderliness,Like to tidy up,C,1,0.2033692,0.2531739,0.14880371,0.23779309,0.15356451,a closed
Adventurousness,Like to visit new places,O,1,0.00048208237,0.00036382675,0.0008263588,0.07672119,0.9204104,a closed
Gregariousness,Make friends easily,E,1,0.000436306,0.0004003048,0.0010061264,0.05987549,0.9365238,a closed
Achievement-striving,Need a push to get started,C,-1,0.036254883,0.06567383,0.06878662,0.2941895,0.53271496,a closed
Gregariousness,Often feel uncomfortable around others,E,-1,0.0025577545,0.008003235,0.010437012,0.0783692,0.8964849,a closed
Orderliness,Often forget to put things back in their proper place,C,1,0.004627228,0.007633209,0.012390137,0.20629889,0.76660186,a closed
Achievement-striving,Plunge into tasks with all your heart,C,1,0.00096940994,0.0010900497,0.0016622543,0.092163086,0.90234405,a closed
Intellectual Openness,Prefer to stick with things that you know,O,-1,0.6572271,0.119751036,0.013648987,0.18542492,0.02180481,a closed
Intellectual Openness,Prefer variety to routine,O,1,0.0006699562,0.0003759861,0.00062942505,0.12377936,0.8725589,a closed
Intellectual Openness,Rarely look for a deeper meaning in things,O,-1,0.07562256,0.05618286,0.03152466,0.21203619,0.623047,a closed
Adventurousness,Seek adventure,O,1,0.00028514862,0.00017976761,0.00033068657,0.01966858,0.97802794,a closed
Achievement-striving,Shirk your duties,C,-1,0.0026340485,0.0046958923,0.0047683716,0.10357672,0.8808599,a closed
Gregariousness,Start conversations,E,1,0.002008438,0.0034694672,0.0065841675,0.1499024,0.83593774,a closed
Agreeableness,Take things as they come,A,1,0.10736084,0.10736084,0.051513672,0.3688966,0.36328137,a closed
Gregariousness,Talk to a lot of different people at parties,E,1,0.0027008057,0.0033893585,0.0065307617,0.15576178,0.8291018,a closed
Agreeableness,Tolerate a lot from others,A,1,0.0051498413,0.0055656433,0.00932312,0.16528326,0.81347674,a closed
Intellectual Openness,Try to avoid complex people,O,-1,0.023498535,0.03753662,0.045288086,0.22644049,0.66552746,a closed
Adventurousness,Try to do too difficult things,O,1,0.0027160645,0.0030784607,0.0036563873,0.19958502,0.789551,a closed
Agreeableness,Try to forgive and forget,A,1,0.007003784,0.013084412,0.025222778,0.1922608,0.7602541,a closed
Intellectual Openness,Want to increase your knowledge,O,1,0.0030765533,0.008766174,0.019439697,0.24816906,0.718262,a closed
Gregariousness,Warm up quickly to others,E,1,0.0016469955,0.0018234253,0.004108429,0.12988287,0.8598636,a closed
Extraversion,Would describe your experiences as somewhat dull,E,-1,0.039031982,0.080078125,0.043548584,0.3217774,0.5141603,a closed
Adventurousness,Would like to live for awhile in a different country,O,1,0.0008087158,0.00086069107,0.0013542175,0.10925299,0.886719,a closed
Adventurousness,Would never go hang-gliding or bungee-jumping,O,-1,0.28247082,0.061065674,0.022109985,0.12927252,0.50341815,a closed
Conscientiousness,Act wild and crazy,C,-1,0.00033783913,0.00018084049,0.00031232834,0.0052833557,0.9912124,a closed
Agreeableness,Are concerned about others,A,1,0.0016527176,0.0040245056,0.0072898865,0.08477789,0.89697325,a closed
Intellect,Are not interested in abstract ideas,O,-1,0.12902832,0.08868408,0.04458618,0.24108893,0.49462903,a closed
Agreeableness,Are not interested in other people's problems,A,-1,0.014625549,0.02230835,0.033996582,0.16479498,0.76220727,a closed
Extraversion,Are open about your feelings,E,1,0.00050354004,0.00029850006,0.00068330765,0.04260254,0.95459026,a closed
Intellect,Avoid difficult reading material,O,-1,0.037628174,0.05307007,0.050628662,0.20983893,0.64648455,a closed
Conscientiousness,Believe laws should be strictly enforced,C,1,0.0463562,0.06958008,0.114746094,0.2976076,0.46801782,a closed
Conscientiousness,Break rules,C,-1,0.00063610077,0.00047659874,0.0007920265,0.057281554,0.9389656,a closed
Intellect,Carry the conversation to a higher level,O,1,0.001036644,0.0025463104,0.004005432,0.11175543,0.87890655,a closed
Conscientiousness,Do crazy things,C,-1,0.00048279762,0.000364542,0.00066518784,0.015136719,0.98144627,a closed
Conscientiousness,Do things by the book,C,1,0.71875054,0.08319092,0.011985779,0.1555177,0.027877808,a closed
Conscientiousness,Do things in a half-way manner,C,-1,0.0151901245,0.02708435,0.023895264,0.3623048,0.56982434,a closed
Extraversion,Don't talk a lot,E,-1,0.023880005,0.04324341,0.06390381,0.1462403,0.71972686,a closed
Agreeableness,Feel others' emotions,A,1,0.0017185211,0.0037841797,0.009361267,0.08477783,0.8974613,a closed
Agreeableness,Find fault with everything,A,-1,0.001253128,0.00315094,0.0055732727,0.06378174,0.92236364,a closed
Intellect,Have a rich vocabulary,O,1,0.0009050369,0.00081157684,0.0023479462,0.062469482,0.9326174,a closed
Agreeableness,Have a soft heart,A,1,0.00078105927,0.00091314316,0.0027694702,0.06707764,0.9262699,a closed
Extraversion,Have difficulty expressing your feelings,E,-1,0.026626587,0.039367676,0.04257202,0.17919928,0.70849645,a closed
Intellect,Have difficulty understanding abstract ideas,O,-1,0.120666504,0.13891602,0.04650879,0.22900397,0.4626466,a closed
Intellect,Have excellent ideas,O,1,0.00039625168,0.00027441978,0.0006532669,0.0335083,0.96386766,a closed
Extraversion,Hold back your opinions,E,-1,0.026824951,0.032348633,0.03665161,0.23168951,0.67041034,a closed
Agreeableness,Insult people,A,-1,0.0008254051,0.0013933182,0.0025424957,0.017242491,0.9711936,a closed
Conscientiousness,Jump into things without thinking,C,-1,0.00073480606,0.0005130768,0.000893116,0.06719977,0.9277351,a closed
Conscientiousness,Like order,C,1,0.5629887,0.22741705,0.021484375,0.15625006,0.029373169,a closed
Extraversion,Make friends easily,E,1,0.00042939186,0.0004003048,0.0010061264,0.05987549,0.9365238,a closed
Agreeableness,Make people feel at ease,A,1,0.0036449432,0.008216858,0.018234253,0.15502936,0.8125003,a closed
Extraversion,Never at a loss for words,E,1,0.0012607574,0.0012807846,0.002319336,0.05795288,0.9355471,a closed
Conscientiousness,Pay attention to details,C,1,0.012802124,0.052246094,0.16088867,0.2165528,0.5532229,a closed
Agreeableness,Put people under pressure,A,-1,0.0021133423,0.0054397583,0.009254456,0.092041075,0.88671917,a closed
Intellect,Quick to understand things,O,1,0.0019130707,0.0034103394,0.008987427,0.12213141,0.8608401,a closed
Extraversion,Speak softly,E,-1,0.0019483566,0.0038757324,0.0069084167,0.0345459,0.9482427,a closed
Agreeableness,Sympathize with others' feelings,A,1,0.0029582977,0.004108429,0.013259888,0.19482428,0.782715,a closed
Agreeableness,Take advantage of others,A,-1,0.00052690506,0.00049495697,0.0009851456,0.010101318,0.9834003,a closed
Extraversion,Take charge,E,1,0.000895977,0.0019874573,0.0047683716,0.1229859,0.86718774,a closed
Extraversion,Talk to a lot of different people at parties,E,1,0.0027370453,0.0034332275,0.0066184998,0.15783697,0.8271487,a closed
Intellect,Try to avoid complex people,O,-1,0.023788452,0.03741455,0.044433594,0.2292481,0.66357434,a closed
Conscientiousness,Try to follow the rules,C,1,0.29321307,0.1922608,0.0501709,0.38842803,0.07183844,a closed
Intellect,Will not probe deeply into a subject,O,-1,0.08770752,0.09637451,0.03656006,0.28759778,0.489258,a closed
Conscientiousness,Accomplish your work on time,C,1,0.3671878,0.27294928,0.12890625,0.15063483,0.07458502,a closed
Morality,Act at the expense of others,A,-1,0.0010957718,0.0017375946,0.0030975342,0.03225708,0.9580086,a closed
Friendliness,Act comfortably with others,E,1,0.003030777,0.0033283234,0.0062675476,0.20117193,0.7832035,a closed
Friendliness,Are a very private person,E,-1,0.005519867,0.008415222,0.021484375,0.0904541,0.87207055,a closed
Assertiveness,Are always busy,E,1,0.0024318695,0.0055236816,0.015991211,0.08642578,0.88671905,a closed
Conscientiousness,Are careful to avoid making mistakes,C,1,0.07409668,0.11303711,0.089416504,0.3322755,0.38842785,a closed
Sympathy,Are concerned about others,A,1,0.0016508102,0.004020691,0.007282257,0.085998595,0.8959967,a closed
Sympathy,Are deeply moved by others' misfortunes,A,1,0.0010099411,0.0011177063,0.003063202,0.029525757,0.9624029,a closed
Cautiousness,Are easily talked into doing silly things,C,-1,0.0006737709,0.000500679,0.0010681152,0.05480957,0.9414067,a closed
Friendliness,Are hard to get to know,E,-1,0.0357666,0.05041504,0.051208496,0.23681647,0.6240236,a closed
Assertiveness,Are not highly motivated to succeed,E,-1,0.003534317,0.0074806213,0.011955261,0.17565924,0.799805,a closed
Conscientiousness,Are often late to work,C,-1,0.0020866394,0.005897522,0.012008667,0.06390387,0.9101571,a closed
Friendliness,Are open about your feelings,E,1,0.00051546097,0.0003077984,0.0006990433,0.04324341,0.95361364,a closed
Gregariousness,Are quiet around strangers,E,-1,0.021514893,0.035491943,0.07513428,0.17468268,0.6904299,a closed
Dutifulness,Appreciate good manners,C,1,0.13342291,0.22692877,0.3571778,0.13769537,0.13989264,a closed
Assertiveness,Automatically take charge,E,1,0.0006737709,0.0011920929,0.0034217834,0.12841797,0.864258,a closed
Friendliness,Avoid contacts with others,E,-1,0.0017681122,0.0054473877,0.0074424744,0.050872803,0.9301765,a closed
Dutifulness,Behave properly,C,1,0.021057129,0.03366089,0.081970215,0.20605475,0.6552736,a closed
Imagination,Believe in the importance of art,O,1,0.00029039383,0.0001578331,0.00051784515,0.047332764,0.95068395,a closed
Sympathy,Believe people should fend for themselves,A,-1,0.059143066,0.053009033,0.063964844,0.2778321,0.54394543,a closed
Gregariousness,Bottle up your feelings,E,-1,0.014389038,0.017364502,0.021942139,0.20495611,0.7382815,a closed
Morality,Break rules,A,-1,0.0006418228,0.00048065186,0.00079250336,0.05642706,0.9399422,a closed
Assertiveness,Can easily push yourself forward,E,1,0.0007185936,0.00073575974,0.00097465515,0.09637451,0.8999026,a closed
Introspection/Private Self-Consciousness,Can't stand being alone,N,-1,0.0031318665,0.0038375854,0.004486084,0.13110358,0.8549807,a closed
Dutifulness,Check over your work,C,1,0.2509768,0.27124035,0.092285156,0.27124053,0.107910275,a closed
Assertiveness,Come up with a solution right away,E,1,0.0006542206,0.0007891655,0.0015449524,0.11706543,0.8789064,a closed
Cooperation,Comment loudly about others,A,-1,0.00083208084,0.0013198853,0.0027713776,0.024139464,0.96386904,a closed
Sympathy,Demand a lot from others,A,-1,0.0030136108,0.005718231,0.011375427,0.101379454,0.8759769,a closed
Intellect,Dislike learning,O,-1,0.0034503937,0.013122559,0.02911377,0.1264649,0.8247074,a closed
Orderliness,Dislike routine,C,-1,0.027664185,0.043518066,0.005531311,0.70214945,0.21752948,a closed
Dutifulness,Disregard rules,C,-1,0.0012569427,0.00093364716,0.0011892319,0.06149298,0.9326178,a closed
Assertiveness,Do a lot in your spare time,E,1,0.0016384125,0.0024204254,0.005630493,0.11303717,0.8754886,a closed
Cautiousness,Do crazy things,C,-1,0.00048279762,0.000364542,0.00067043304,0.015136719,0.98144627,a closed
Cooperation,Do dangerous things,A,-1,0.0005044937,0.00039601326,0.0006685257,0.01737976,0.9790051,a closed
Dutifulness,Do improper things,C,-1,0.0024814606,0.0026416779,0.0037269592,0.03024298,0.955568,a closed
Imagination,Do not enjoy going to art museums,O,-1,0.09881592,0.078125,0.031585693,0.18457037,0.60498065,a closed
Imagination,Do not like art,O,-1,0.08905029,0.07861328,0.043395996,0.22387701,0.56298846,a closed
Imagination,Do not like poetry,O,-1,0.034423828,0.03781128,0.056762695,0.16687012,0.70214856,a closed
Conscientiousness,Do not plan ahead,C,-1,0.005302429,0.0059127808,0.0050582886,0.27612317,0.7050785,a closed
Dutifulness,Do the opposite of what is asked,C,-1,0.021759033,0.016952515,0.015914917,0.100586,0.8422855,a closed
Conscientiousness,Do things according to a plan,C,1,0.46972704,0.25146496,0.023376465,0.221802,0.029556274,a closed
Introspection/Private Self-Consciousness,Do things at your own pace,N,1,0.09887695,0.17358398,0.121154785,0.33447278,0.2687989,a closed
Orderliness,Do things by the book,C,1,0.7172857,0.084350586,0.0121536255,0.15515149,0.028259277,a closed
Morality,Don't care about rules,A,-1,0.0015201569,0.0009584427,0.0016183853,0.09478766,0.8989263,a closed
Sympathy,Don't fall for sob stories,A,-1,0.010559082,0.013557434,0.028686523,0.13269043,0.8125002,a closed
Gregariousness,Don't like to draw attention to yourself,E,-1,0.032989502,0.03918457,0.060668945,0.1811524,0.6835939,a closed
Introspection/Private Self-Consciousness,Don't like to ponder over things,N,-1,0.070007324,0.081848145,0.0473938,0.28125006,0.51757824,a closed
Introspection/Private Self-Consciousness,Don't mind eating alone,N,1,0.11340338,0.10992432,0.077941895,0.23278815,0.4628908,a closed
Gregariousness,Don't talk a lot,E,-1,0.024520874,0.043701172,0.064575195,0.14782721,0.7163089,a closed
Dutifulness,Don't think laws apply to me,C,-1,0.001162529,0.0011816025,0.0019626617,0.014389038,0.9775402,a closed
Cooperation,Enjoy being reckless,A,-1,0.00035095215,0.00018489361,0.0003976822,0.013801575,0.9829112,a closed
Introspection/Private Self-Consciousness,Enjoy contemplation,N,1,0.0016765594,0.0031814575,0.007633209,0.14404297,0.841797,a closed
