type,question,answer
UNTYPED,Where did No Game No Life originate?,Japan
UNTYPED,Who developed Windows Phone 8.1?,Microsoft
UNTYPED,Where is the headquarter of BC Hydro located?,Vancouver
UNTYPED,What sport does Herculez Gomez professionally play?,soccer
UNTYPED,What language was the late 15th century text Passer à l'acte originally written in?,French
UNTYPED,What country is Arne Vidar Røed a citizen of?,Norway
UNTYPED,Who developed the Acura ILX?,Honda
UNTYPED,Where is the headquarter of Zillow located?,Seattle
UNTYPED,Where did Ernst Reuter die?,Berlin
UNTYPED,What is the capital city of the Kingdom of Hungary?,Budapest
UNTYPED,Where is the British Museum located?,London
UNTYPED,Where was Mehdi Hosseini born?,Tehran
UNTYPED,Who employs Jeremy Paxman?,BBC
UNTYPED,What language is spoken in Aarau?,German
UNTYPED,In what city did Charlie Conacher die?,Toronto
UNTYPED,In what city did Gianfranco Fini work?,Rome
UNTYPED,Where did How to Make It in America premiere?,HBO
UNTYPED,In which country is Bundesautobahn 3 the most popular route?,Germany
UNTYPED,In which country was Paanch created?,India
UNTYPED,In which country was Pandora Hearts created?,Japan
UNTYPED,What is the native language of Valentin Rasputin?,Russian
UNTYPED,In which city is Andheri located in the south?,Mumbai
UNTYPED,Who developed PlayStation Eye?,Sony
UNTYPED,What language is not used by Jean-Baptiste Marchand?,French
UNTYPED,"Where did George Cadogan, 5th Earl Cadogan take up work?",London
UNTYPED,What religion is Mir Damad affiliated with?,Islam
UNTYPED,Where did The Big Bang Theory premiere?,CBS
UNTYPED,Where was Hajime Mizoguchi born?,Tokyo
UNTYPED,Where are SunTrust Banks's headquarters located?,Atlanta
UNTYPED,What is the native language of Giunta Pisano?,Italian
UNTYPED,What is the native language of Pierre Alcover?,French
UNTYPED,"In which country is Medical College and Hospital, Kolkata located?",India
UNTYPED,What is Henry Pym affiliated with?,Avengers
UNTYPED,Where is Fryderyk Chopin University of Music located?,Warsaw
UNTYPED,Who developed Final Fantasy Legend III?,Square
UNTYPED,On what network was Scooby Doo originally aired?,CBS
UNTYPED,In which country was Saint-Marcellin created?,France
UNTYPED,What language is spoken in Seychelles?,English
UNTYPED,Where was Giovanni Sgambati born?,Rome
UNTYPED,What is Phil Knight founder of?,Nike
UNTYPED,Where was East Japan Railway Company formed?,Tokyo
UNTYPED,What is the capital of Norway?,Oslo
UNTYPED,Where was Jacques-Jean Barre born?,Paris
UNTYPED,What instrument does Edmund Neupert perform on?,piano
UNTYPED,On which network did Meet the Press debut?,NBC
UNTYPED,What instrument does Sergiu Luca play?,violin
UNTYPED,Who owns Windows Media Player?,Microsoft
UNTYPED,In what area does William Herschel work?,astronomy
UNTYPED,What sport does José Canseco professionally play?,baseball
UNTYPED,What language is the original version of Celia en el colegio a mixture of?,Spanish
UNTYPED,What is Jeff Hardy affiliated with?,WWE
UNTYPED,What is the capital city of the Second French Empire?,Paris
UNTYPED,What instrument does Franz Liszt play?,piano
UNTYPED,What is the native language of Lisa Ekdahl?,Swedish
UNTYPED,Where does Trailer Park Boys premiere?,Netflix
UNTYPED,Who employs Jeremy Vine?,BBC
UNTYPED,Where is Melodiya headquartered?,Moscow
UNTYPED,In what language does Jean-Pierre Petit write?,French
UNTYPED,What language is spoken in Papua New Guinea?,English
UNTYPED,Where is Killer Mike native to?,Atlanta
UNTYPED,Who developed the B-47 Stratojet?,Boeing
UNTYPED,Where did Henri Herz die at the age of 93?,Paris
UNTYPED,What is the native language of Xavier Saint-Macary?,French
UNTYPED,Where did John Pym die?,London
UNTYPED,Who is United Launch Alliance's joint venture partner?,Boeing
UNTYPED,To which continent does Cape Adams belong?,Antarctica
UNTYPED,Who owns Yammer?,Microsoft
UNTYPED,Who developed the Jeep Grand Cherokee?,Chrysler
UNTYPED,Who wrote Le Silence de la mer in the early 20th century?,French
UNTYPED,Where is the location of the Taliban insurgency,Afghanistan
UNTYPED,Where did The Sports Reporters premiere?,ESPN
UNTYPED,In which state is Edina High School located?,Minnesota
UNTYPED,Who developed Chromebook Pixel?,Google
UNTYPED,To which continent does Melilla belong?,Africa
UNTYPED,What sport does Dick Butkus professionally play?,football
UNTYPED,Who created iTunes Radio?,Apple
UNTYPED,What network originally aired Museum Secrets?,History
UNTYPED,Who owns Florida Championship Wrestling?,WWE
UNTYPED,Where is the headquarter of Mayo Clinic located?,Rochester
UNTYPED,Where is the Galerie des Machines located?,Paris
UNTYPED,Where is The Home Depot headquartered?,Atlanta
UNTYPED,Who developed Windows Internet Explorer 8?,Microsoft
UNTYPED,What country is Cabernet Franc from?,France
UNTYPED,Where does College Football Live premiere?,ESPN
UNTYPED,In what city did Lorenzo Perosi die?,Rome
UNTYPED,In what city did Friedrich Goldmann work?,Berlin
UNTYPED,What sport does Marco Di Vaio professionally play?,soccer
UNTYPED,What position does Mark Sanchez play in?,quarterback
UNTYPED,Where did samurai cinema originate?,Japan
UNTYPED,What sport does Terrell Owens professionally play?,football
UNTYPED,Who developed the Acura RDX?,Honda
UNTYPED,In what country was Chakrapani created?,India
UNTYPED,To which continent does Catalonia belong?,Europe
UNTYPED,Who develops Android Auto?,Google
UNTYPED,What sport does Ryan Smyth professionally play?,hockey
UNTYPED,What genre is played by Count Basie?,jazz
UNTYPED,What is the original language of The Three Musketeers?,French
UNTYPED,Where are Mercure de France's headquarters?,Paris
UNTYPED,Where is Concordia University located?,Montreal
UNTYPED,What sport does Lawrence Taylor professionally play?,football
UNTYPED,Where did Stamatios Kleanthis pass away?,Athens
UNTYPED,Who developed OS X Yosemite?,Apple
UNTYPED,What religion does Sultan Satuq Bughra Khan follow?,Islam
UNTYPED,What sport does Russell Wilson professionally play?,football
UNTYPED,Where is Nez Perce County located?,Idaho
UNTYPED,Who developed Windows Phone 7?,Microsoft
UNTYPED,What city does Bilal ibn Ribah originate from?,Mecca
UNTYPED,In which city did Philippus van Limborch work?,Amsterdam
UNTYPED,In what city did Adele Faccio work?,Rome
UNTYPED,Where did Givenchy originate?,Paris
UNTYPED,Where did Giacomo Barozzi da Vignola pass away?,Rome
UNTYPED,What language was a mixture of Latin in Eclogues?,Latin
UNTYPED,Where is the headquarter of Russian Post located?,Moscow
UNTYPED,What sport does Dirk Nowitzki professionally play?,basketball
UNTYPED,What company makes Nismo?,Nissan
UNTYPED,Who created MacApp?,Apple
UNTYPED,In what language does Francis Blanche speak during a news conference?,French
UNTYPED,On what network was Law & Order released?,NBC
UNTYPED,What citizenship did Bhaktisiddhanta Saraswati have?,India
UNTYPED,In what language is Le Mauricien written?,French
UNTYPED,Where is Pilipinas News from?,Philippines
UNTYPED,Where was Alexandre Mercereau born?,Paris
UNTYPED,What city owns O'Hare International Airport?,Chicago
UNTYPED,In which country is Etobicoke North located?,Canada
UNTYPED,In what city did Giacinto Brandi die?,Rome
UNTYPED,Where is Partick Thistle F.C. based?,Glasgow
UNTYPED,What is Raina Kabaivanska known for?,opera
UNTYPED,Which language was Il Gazzettino written in?,Italian
UNTYPED,In what city did James Northcote die?,London
UNTYPED,Where was Chatto & Windus formed?,London
UNTYPED,Who develops Final Fantasy?,Square
UNTYPED,In which country was Suite Habana created?,Cuba
UNTYPED,"In which city did Henry Somerset, 7th Duke of Beaufort work?",London
UNTYPED,On which network was The Biskitts originally aired?,CBS
UNTYPED,What genre does Eureka Brass Band play?,jazz
UNTYPED,What language is spoken in Tennessee?,English
UNTYPED,What was the capital of the Czech Socialist Republic?,Prague
UNTYPED,What country is Mohammad-Taqi Mesbah-Yazdi a citizen of?,Iran
UNTYPED,Who developed Windows Live Mail?,Microsoft
UNTYPED,What language is spoken in Singapore?,English
UNTYPED,In what city did Werner von Blomberg work?,Berlin
UNTYPED,What sport does Boris Diaw professionally play?,basketball
UNTYPED,What is the capital of Italy?,Rome
UNTYPED,Who created Xbox?,Microsoft
UNTYPED,In which country is Christian Medical College Ludhiana located?,India
UNTYPED,What is the native language of Pierre Daniel Huet?,French
UNTYPED,What is Antonio Vivaldi known for performing in?,opera
UNTYPED,Where is RioCan Real Estate Investment Trust headquartered?,Toronto
UNTYPED,What language is spoken in Indiana?,English
UNTYPED,Who developed Wii MotionPlus?,Nintendo
UNTYPED,What is the original language of Ma vie en rose?,French
UNTYPED,Who develops Windows Mobile?,Microsoft
UNTYPED,Where was Sound Transit formed in 1999?,Seattle
UNTYPED,In what city did Louis Nicolas Vauquelin work?,Paris
UNTYPED,What religion is Shah Alam II affiliated with?,Islam
UNTYPED,What language is that used by Juan Bautista de Anza similar to?,Spanish
UNTYPED,Who owns Beats Music?,Apple
UNTYPED,Where is the headquarter of United Airlines located?,Chicago
UNTYPED,What position does Marco Tardelli play in?,midfielder
UNTYPED,What language does Willem Wilmink speak to the media in?,Dutch
UNTYPED,What title does John XXIII hold?,pope
UNTYPED,In what city did Gro Harlem Brundtland work?,Oslo
UNTYPED,In which country is Trento located?,Italy
UNTYPED,What is Jon Postel's domain of activity?,Internet
UNTYPED,What is Iron Man affiliated with?,Avengers
UNTYPED,Who created Windows Embedded CE 6.0?,Microsoft
UNTYPED,Who created Super Game Boy?,Nintendo
UNTYPED,What position does Yogi Berra play?,catcher
UNTYPED,What religion does Hafez follow?,Islam
UNTYPED,Who employs Victoria Derbyshire?,BBC
UNTYPED,On what network was The Leftovers released?,HBO
UNTYPED,What language is Si la vie est cadeau written in?,French
UNTYPED,"In which city did Elizabeth Butler-Sloss, Baroness Butler-Sloss work?",London
UNTYPED,What religion does Deobandi follow?,Islam
UNTYPED,"Where did Knud, Hereditary Prince of Denmark pass away?",Copenhagen
UNTYPED,In what city did Astley Cooper die?,London
UNTYPED,To which continent do Grossman Nunataks belong?,Antarctica
UNTYPED,Who developed the iPod Touch?,Apple
UNTYPED,What field was Gerolamo Cardano's domain of activity?,mathematics
UNTYPED,What is the native language of Paul Klebnikov?,Russian
UNTYPED,In which country is the Ginza Line located?,Japan
UNTYPED,What sport does Jerry West professionally play?,basketball
UNTYPED,Where are the Hellenic Army's headquarters?,Athens
UNTYPED,Who employs Steve Jobs?,Apple
UNTYPED,What city owns Giuseppe Meazza Stadium (San Siro)?,Milan
UNTYPED,What is the native language of Marguerite Yourcenar?,French
UNTYPED,What is Daiki Arioka's profession?,actor
UNTYPED,What is the capital of Central Bohemian Region?,Prague
UNTYPED,In which country is Iruma Air Base located?,Japan
UNTYPED,What is the original language of Sadratnamala?,Sanskrit
UNTYPED,In which country is Bundesautobahn 9 the most popular route?,Germany
UNTYPED,What was the capital of the Weimar Republic?,Berlin
UNTYPED,What language does Enzo Cannavale usually use?,Italian
UNTYPED,What is the native language of Pierre Blanchar?,French
UNTYPED,What does Jacobo Zabludovsky work as?,journalist
UNTYPED,What areas of expertise does the Courant Institute of Mathematical Sciences specialize in?,mathematics
UNTYPED,What is the capital city of People's Republic of Poland?,Warsaw
UNTYPED,What is Joseph Schumpeter's domain of work?,economic
UNTYPED,What is the original language of Les Francs-juges?,French
UNTYPED,Who produces the Alfa Romeo MiTo?,Fiat
UNTYPED,What is the capital city of Abbasid Caliphate?,Baghdad
UNTYPED,What is the native language of Georges Pompidou?,French
UNTYPED,What is the original language of Face Dances?,English
UNTYPED,Where was Hideki Shirakawa born?,Tokyo
UNTYPED,Where is Giacinto Brandi originally from?,Italy
UNTYPED,In what language is the Masoretic Text written?,Hebrew
UNTYPED,What position does Gareth Barry play in?,midfielder
UNTYPED,In which country is Indira Gandhi International Airport located?,India
UNTYPED,In which country is Cairo American College located?,Egypt
UNTYPED,In which city did Francesco Rutelli work?,Rome
UNTYPED,What does Sunny Hundal work as?,journalist
UNTYPED,Who developed Time Machine (macOS)?,Apple
UNTYPED,What continent does Toulouse belong to?,Europe
UNTYPED,What sport does Megan Rapinoe professionally play?,soccer
UNTYPED,What country is Henri Maurice Berteaux a citizen of?,France
UNTYPED,"In which country is the Buenos Aires Herald, created in 1891, the oldest daily newspaper?",Argentina
UNTYPED,What city is Galata within the city limits of?,Istanbul
UNTYPED,Who developed iTunes?,Apple
UNTYPED,Who employs Angela Ahrendts?,Apple
UNTYPED,What position does Germanus of Auxerre have?,bishop
UNTYPED,Where is EDP Renewables North America headquartered?,Houston
UNTYPED,In which country is Santo Stefano d'Aveto located?,Italy
UNTYPED,Who owns Abarth?,Fiat
UNTYPED,Where is Lincoln Financial Field located?,Philadelphia
UNTYPED,Who developed Yakuza 2?,Sega
UNTYPED,What sport does Dominik Hašek professionally play?,hockey
UNTYPED,Who employs Stephen Elop?,Microsoft
UNTYPED,Where is Open University of Catalonia establishing a new university?,Barcelona
UNTYPED,Where did Show Me a Hero premiere?,HBO
UNTYPED,Who owns Xbox Game Studios?,Microsoft
UNTYPED,What is the capital of Indonesia?,Jakarta
UNTYPED,What is the capital of Saxony?,Dresden
UNTYPED,What continent does Yangtze belong to?,Asia
UNTYPED,To which continent does Afghanistan belong?,Asia
UNTYPED,Where is the headquarter of Chinese Skating Association located?,Beijing
UNTYPED,Where can Fifth Avenue be found?,Manhattan
UNTYPED,What instrument did Edvard Grieg perform on?,piano
UNTYPED,What country is Yohann Diniz a citizen of?,France
UNTYPED,Who developed the Acura ZDX?,Honda
UNTYPED,What is the capital of the Roman Republic?,Rome
UNTYPED,To which continent does Wallonia belong?,Europe
UNTYPED,In which country was Avenue Montaigne created?,France
UNTYPED,Where was the North Side Gang created in the early 1980s?,Chicago
UNTYPED,In what city did Otto Hauser work?,Berlin
UNTYPED,What is the capital city of United Kingdom of the Netherlands?,Amsterdam
UNTYPED,In what country was Lage Raho Munna Bhai created?,India
UNTYPED,Who developed Acura TL?,Honda
UNTYPED,Where was Adolphe d'Ennery born?,Paris
UNTYPED,What is the position of Pius XII?,pope
UNTYPED,What country is Shigeki Maruyama a citizen of?,Japan
UNTYPED,Who employs Bill Gates?,Microsoft
UNTYPED,What is the capital city of the Austrian Empire?,Vienna
UNTYPED,In what city did Tony Benn die?,London
UNTYPED,What instrument was Clifford Curzon performing?,piano
UNTYPED,In what country was Lupin III created?,Japan
UNTYPED,What is Gwen Ifill associated with?,PBS
UNTYPED,In what country was Inuyasha created?,Japan
UNTYPED,What is the capital of the Commonwealth of the Philippines?,Manila
UNTYPED,Who is Pius VIII?,pope
UNTYPED,In what city did Montesquieu die?,Paris
UNTYPED,Who employs Ray Kurzweil?,Google
UNTYPED,Where is Galatasaray University located?,Istanbul
UNTYPED,In what language does Olga Vittoria Gentilli write?,Italian
UNTYPED,What religion is Yusuf al-Qaradawi affiliated with?,Islam
UNTYPED,What is the native language of Irina Khakamada?,Russian
UNTYPED,Where are the headquarters of King Chulalongkorn Memorial Hospital?,Bangkok
UNTYPED,Where is the location of the 2011 Australian Open?,Melbourne
UNTYPED,Where is the Parliament of Norway Building located?,Oslo
UNTYPED,Where did Alphonse James de Rothschild die?,Paris
UNTYPED,In which country is Eibenstock located?,Germany
UNTYPED,What religion is Muhammad al-Bukhari affiliated with?,Islam
UNTYPED,Where is Louth County Council located?,Ireland
UNTYPED,In what country was Caciocavallo created?,Italy
UNTYPED,Who owns Outlook.com?,Microsoft
UNTYPED,Who created Kindle Fire?,Amazon
UNTYPED,Where did Gaetano Moroni pass away?,Rome
UNTYPED,What religion is Sukarno affiliated with?,Islam
UNTYPED,Who owns Chromebook?,Google
UNTYPED,What position does Benedict XVI hold?,pope
UNTYPED,What continent does the Prussian Partition belong to?,Europe
UNTYPED,What city did Boniface III originate from?,Rome
UNTYPED,Who employs Steve Claridge?,BBC
UNTYPED,What company created Newsstand?,Apple
UNTYPED,In what language is La Voz del Interior written?,Spanish
UNTYPED,What language is spoken in South Georgia and the South Sandwich Islands?,English
UNTYPED,What language is the idiom spoken in the Marshall Islands a mixture of?,English
UNTYPED,What is Felix Salmon's job?,journalist
UNTYPED,What is the original language of Chennai 600028?,Tamil
UNTYPED,"In what city did Ulrika Eleonora, Queen of Sweden die?",Stockholm
UNTYPED,What position does Acca of Hexham hold as the first female?,bishop
UNTYPED,In which country is Holycross-Ballycahill GAA located?,Ireland
UNTYPED,To which continent does Mawson Glacier belong?,Antarctica
UNTYPED,In which country is Bouygues Telecom located?,France
UNTYPED,What position does John Smoltz play?,pitcher
UNTYPED,Where did Freaks and Geeks debut?,NBC
UNTYPED,Where was Iiro Rantala born?,Helsinki
UNTYPED,Where did J-pop originate?,Japan
UNTYPED,Where is the headquarter of Minnesota Strikers located?,Minneapolis
UNTYPED,In what language is Le Matin de Paris written?,French
UNTYPED,Who is the owner of Lexus?,Toyota
UNTYPED,Where is the headquarters of Co-operative Commonwealth Federation (Ontario Section)?,Toronto
UNTYPED,What sport does Bubba Smith professionally play?,football
UNTYPED,What is the native language of Georges Gorse?,French
UNTYPED,Who owns Knowledge Graph?,Google
UNTYPED,Who developed Super Audio CD?,Sony
UNTYPED,To which continent does Pitkevitch Glacier belong?,Antarctica
UNTYPED,Who developed Windows Live OneCare?,Microsoft
UNTYPED,Where is the Oratory of Saint Philip Neri headquartered?,Rome
UNTYPED,What field of study does the Italian Chemical Society specialize in?,chemistry
UNTYPED,Who is Gregory XIII?,pope
UNTYPED,What is Martha Nussbaum's profession?,philosopher
UNTYPED,What genre does RuneScape play?,fantasy
UNTYPED,What is the native language of Michel Modo?,French
UNTYPED,What is Arnold Hermann Ludwig Heeren's domain of work?,history
UNTYPED,Where is the Lotte World Tower located?,Seoul
UNTYPED,What is the mix of religions in the Tang Empire?,Buddhism
UNTYPED,Where is the David Suzuki Foundation's headquarters?,Vancouver
UNTYPED,Where is Lufkin located?,Texas
UNTYPED,Where did tatami originate?,Japan
UNTYPED,What position does Drew Brees play?,quarterback
UNTYPED,What is the native language of Nikolay Strakhov?,Russian
UNTYPED,In which country is Marugame located?,Japan
UNTYPED,What language is spoken in Vietnam?,Vietnamese
UNTYPED,Who employs Craig Federighi?,Apple
UNTYPED,What is the original language of Plus belle la vie?,French
UNTYPED,What language is spoken in Patna?,Hindi
UNTYPED,Where is the headquarters of Lebedev Physical Institute?,Moscow
UNTYPED,What religion does Osman I follow?,Islam
UNTYPED,Where is the 2005 Australian Open located?,Melbourne
UNTYPED,In what city did Michel Bernstein die?,Paris
UNTYPED,To which continent does Emmanuel Glacier belong?,Antarctica
UNTYPED,In which country is Siemiatycze located?,Poland
UNTYPED,What religion does Hyder Ali follow?,Islam
UNTYPED,Where did Fat Albert and the Cosby Kids debut?,CBS
UNTYPED,Where did The Dick Van Dyke Show premiere?,CBS
UNTYPED,What instrument does Robert Schumann perform on?,piano
UNTYPED,In which city did Morteza Momayez pass away?,Tehran
UNTYPED,Where is the King David Hotel bombing located?,Jerusalem
UNTYPED,What is the native language of Alexandre Auguste Ledru-Rollin?,French
UNTYPED,Where did Mainichi Shinbun originate?,Japan
UNTYPED,What language was a mixture of French in Polisse?,French
UNTYPED,In which part of the US are the Hualapai people located?,Arizona
UNTYPED,What country is Sakichi Toyoda a citizen of?,Japan
UNTYPED,What language is spoken in Petrozavodsk?,Russian
UNTYPED,Where is Salvatore Ferragamo Italia S.p.A. headquartered?,Florence
UNTYPED,In which country was Sangamam created?,India
UNTYPED,Who employs John Humphrys?,BBC
UNTYPED,Where did Monster Rancher originate?,Japan
UNTYPED,Who developed Android TV?,Google
UNTYPED,What is the native language of Gabrielle Fontan?,French
UNTYPED,Who employs Leslie Moonves?,CBS
UNTYPED,What language is spoken in Zabaykalsky Krai?,Russian
UNTYPED,What position does Drake Britton play?,pitcher
UNTYPED,Who developed Active Server Pages?,Microsoft
UNTYPED,In which city did David Mellor work?,London
UNTYPED,Where does Sunday Night Baseball premiere?,ESPN
UNTYPED,What city owns Stadio Flaminio?,Rome
UNTYPED,Where was Mako Idemitsu born?,Tokyo
UNTYPED,What position does Barry Zito play?,pitcher
UNTYPED,What is Adam Schefter's affiliation with?,ESPN
UNTYPED,Who developed the Lexus ES?,Toyota
UNTYPED,What sport does Barry Bonds professionally play?,baseball
UNTYPED,What field does air traffic control work in?,aviation
UNTYPED,Where did Pierre Contant d'Ivry pass away?,Paris
UNTYPED,In what city did Gilles Marie Oppenord die?,Paris
UNTYPED,Where did The New Andy Griffith Show premiere?,CBS
UNTYPED,In what city did Rutland Barrington die?,London
UNTYPED,Where did Teen Mom debut?,MTV
UNTYPED,In which country is Valdemarsvik located?,Sweden
UNTYPED,What field of study was Edward Teller an expert in?,physics
UNTYPED,Where is Rheinmetall MAN Military Vehicles headquartered?,Munich
UNTYPED,What was the Delmarva Peninsula named for?,Delaware
UNTYPED,"In which city did Sir James Whitehead, 1st Baronet work?",London
UNTYPED,Where is Gerlache Strait located?,Antarctica
UNTYPED,What area does Vilfredo Pareto work in besides economics?,sociology
UNTYPED,What instrument does George Gershwin perform on?,piano
UNTYPED,In which country is the Alberta Alliance Party located?,Canada
UNTYPED,Where is York University located?,Toronto
UNTYPED,Where was Jules Michelet born?,Paris
UNTYPED,Who developed the Lexus RX?,Toyota
UNTYPED,In what country was Tenchi Universe created?,Japan
UNTYPED,Where are the headquarters of the Polish Socialist Party?,Warsaw
UNTYPED,What religion is Abdalqadir as-Sufi affiliated with?,Islam
UNTYPED,Where was Georges Rouault born?,Paris
UNTYPED,What type of music does Postcards Records perform?,jazz
UNTYPED,To which continent does the Irish Free State belong?,Europe
UNTYPED,Where is the headquarter of Soviet Air Defence Forces located?,Moscow
UNTYPED,What is the capital of the Ukrainian State?,Kiev
UNTYPED,In which city did Yitzhak Ben-Zvi work?,Jerusalem
UNTYPED,What instrument did Van Cliburn perform on?,piano
UNTYPED,What instrument does Antonio Vivaldi play?,violin
UNTYPED,Which kind of show does Andrew Lloyd Webber create?,musical
UNTYPED,What country is Nagendra Singh a citizen of?,India
UNTYPED,In what language was De Officiis originally written?,Latin
UNTYPED,What is Georgios Babiniotis's domain of work?,Greek
UNTYPED,In what city did Julian Huxley die?,London
UNTYPED,What language was Die Nibelungen originally written in?,German
UNTYPED,Where is the headquarter of Canada West Foundation located?,Calgary
UNTYPED,What country is Yuki Uchida a citizen of?,Japan
UNTYPED,Where is Eiko Koike originally from?,Tokyo
UNTYPED,In what language was Yalkut Yosef originally written?,Hebrew
UNTYPED,Where did Orphan Black originate?,Canada
UNTYPED,In which country is Bundesautobahn 4 the most popular route?,Germany
UNTYPED,In which country is Jervis Inlet located?,Canada
UNTYPED,In what language is Kieler Nachrichten written?,German
UNTYPED,Who employs Paul Otellini?,Intel
UNTYPED,Where did Mike & Molly premiere?,CBS
UNTYPED,What is the original language of The Voice Israel?,Hebrew
UNTYPED,What sport does Wayne Rooney professionally play?,soccer
UNTYPED,What was the capital of the Second Spanish Republic?,Madrid
UNTYPED,What position does Mark Walters play in?,midfielder
UNTYPED,What sport does Johnny Unitas professionally play?,football
UNTYPED,What country is Auguste Rodin a citizen of?,France
UNTYPED,In what language is La Vie written?,French
UNTYPED,What language is spoken in the United Kingdom?,English
UNTYPED,What instrument does Johannes Brahms perform on?,piano
UNTYPED,In which country is Nishi-Matsuura District located?,Japan
UNTYPED,Where is the Federal Palace of Switzerland located?,Bern
UNTYPED,Who develops Mac Pro?,Apple
UNTYPED,In what city did Louis XVII of France die?,Paris
UNTYPED,What is the official language of Ecuador?,Spanish
UNTYPED,Who developed iPod Classic?,Apple
UNTYPED,In which country was Dronningens vagtmester created?,Denmark
UNTYPED,In which country is Panagarh located?,India
UNTYPED,Who developed ActiveSync?,Microsoft
UNTYPED,What sport does Mark Messier professionally play?,hockey
UNTYPED,In what country was Velayudham created?,India
UNTYPED,What instrument does Philip Glass play?,piano
UNTYPED,In which country is the Sydney Peace Prize located?,Australia
UNTYPED,What country is Subodh Kant Sahay a citizen of?,India
UNTYPED,What is the capital of Lazio?,Rome
UNTYPED,What is the original language of Tusculanae Disputationes?,Latin
UNTYPED,In which country is the Argentine National Anthem located?,Argentina
UNTYPED,What sport does Brett Hull professionally play?,hockey
UNTYPED,What continent does Vietnam belong to?,Asia
UNTYPED,Who employs Shane McMahon?,WWE
UNTYPED,What sport does Thierry Henry professionally play?,soccer
UNTYPED,What sport does Roger Staubach professionally play?,football
UNTYPED,Where did Prada originate?,Milan
UNTYPED,What is the position of Leo XIII?,pope
UNTYPED,Who developed Windows Phone 8.1?,Microsoft
UNTYPED,In what city did Marcellin Berthelot die?,Paris
UNTYPED,Where is Charlottenborg Palace located?,Copenhagen
UNTYPED,What continent does Paris belong to?,Europe
UNTYPED,Who developed iPad 4?,Apple
UNTYPED,Who developed NTFS?,Microsoft
UNTYPED,"What language is used by Claude Henri de Rouvroy, comte de Saint-Simon?",French
UNTYPED,What language does David Crystal study the history of?,English
UNTYPED,Where did Tokyo Mew Mew originate?,Japan
UNTYPED,In which city did Joseph Goebbels work?,Berlin
UNTYPED,Where does The Lead with Jake Tapper premiere?,CNN
UNTYPED,In which country is public transport in Istanbul located?,Turkey
UNTYPED,Who owns Epiphone?,Gibson
UNTYPED,In what language does Osvaldo Genazzani speak?,Italian
UNTYPED,What is the native language of Claude Bernard?,French
UNTYPED,Where is Myongji University located?,Seoul
UNTYPED,Where did Grupo Globo originate?,Brazil
UNTYPED,What language is spoken in Nokia?,Finnish
UNTYPED,What sport did Honus Wagner professionally play?,baseball
UNTYPED,What is the native language of Victor Prosper Considerant?,French
UNTYPED,In what city did Franz Xaver Gabelsberger work?,Munich
UNTYPED,What is the capital of the Grand Duchy of Finland?,Helsinki
UNTYPED,In which province is Lake Abitibi located?,Ontario
UNTYPED,What language does Alain Touraine speak to the media after the first round of the election?,French
UNTYPED,What is the native language of Edward Bulwer-Lytton?,English
